"date","close","volume","open","high","low"
"2018/09/17","78.8800","6301525.0000","81.4900","81.8800","78.6600"
"2018/09/14","81.2700","5996763.0000","80.5000","82.0300","80.4300"
"2018/09/13","80.4300","5702499.0000","80.5900","81.4000","79.8301"
"2018/09/12","80.5200","8837743.0000","79.7000","81.4900","78.8000"
"2018/09/11","79.5000","14036210.0000","74.8800","79.5400","74.6600"
"2018/09/10","74.2600","5159706.0000","73.8800","74.7300","73.2500"
"2018/09/07","73.5700","5052007.0000","71.8300","73.7100","71.8100"
"2018/09/06","71.9600","5784695.0000","71.6300","72.4300","71.1500"
"2018/09/05","71.6500","5304307.0000","72.9300","73.1800","70.9950"
"2018/09/04","72.9800","6611001.0000","72.1300","73.0400","72.0300"
"2018/08/31","72.1000","9827660.0000","71.5200","72.4500","71.0100"
"2018/08/30","74.1000","7816938.0000","74.4000","75.7700","73.6000"
"2018/08/29","74.9100","4647533.0000","73.9400","75.4000","73.8778"
"2018/08/28","74.0000","4079712.0000","74.2500","74.3300","73.3900"
"2018/08/27","74.0900","5912252.0000","74.8700","75.0000","73.3300"
"2018/08/24","74.0900","8823447.0000","71.7100","74.1600","71.4600"
"2018/08/23","71.1700","6767254.0000","71.5600","71.8950","70.5100"
"2018/08/22","71.4300","7985630.0000","69.5800","71.5200","69.5001"
"2018/08/21","69.6600","5961510.0000","69.2700","70.2600","69.0400"
"2018/08/20","68.9300","4388948.0000","69.2100","69.3900","68.2200"
"2018/08/17","69.1500","5364779.0000","69.5100","69.6700","68.3300"
"2018/08/16","69.6900","9463624.0000","69.6800","69.9900","68.9100"
"2018/08/15","69.3100","8541080.0000","70.3900","70.8100","68.4450"
"2018/08/14","71.2900","4827211.0000","71.0500","71.7359","70.1800"
"2018/08/13","70.5200","5592388.0000","70.6100","72.3000","70.2550"
"2018/08/10","70.6100","4609324.0000","70.1000","71.0400","69.7700"
"2018/08/09","70.5000","7563227.0000","70.0200","70.9700","69.5600"
"2018/08/08","70.0100","6852700.0000","70.0700","70.5500","69.2700"
"2018/08/07","70.2300","7763613.0000","70.5700","71.6650","69.8700"
"2018/08/06","70.5700","6384250.0000","71.1600","71.6100","70.4600"
"2018/08/03","71.3200","12698930.0000","74.5000","75.2500","70.7300"
"2018/08/02","74.0600","6542406.0000","73.6500","74.1590","72.5500"
"2018/08/01","73.0800","6065568.0000","73.7700","74.5800","72.9200"
"2018/07/31","73.4200","6368995.0000","72.9100","74.2900","72.5150"
"2018/07/30","72.7500","8885068.0000","75.3700","75.4800","71.7900"
"2018/07/27","75.3600","6048162.0000","77.0800","77.5744","74.6700"
"2018/07/26","77.6500","6172132.0000","79.3900","79.6200","77.4600"
"2018/07/25","79.4500","4343889.0000","78.6000","79.7400","78.3200"
"2018/07/24","78.4100","4658750.0000","80.1000","80.2000","77.9600"
"2018/07/23","79.7500","3181533.0000","79.5000","80.0000","78.8200"
"2018/07/20","79.6500","5663891.0000","80.9400","80.9550","79.5500"
"2018/07/19","80.6100","3501626.0000","81.0200","81.1900","80.1900"
"2018/07/18","81.2700","5084240.0000","80.7500","81.4700","80.3950"
"2018/07/17","80.9500","4862031.0000","79.1600","81.1600","77.5500"
"2018/07/16","80.2300","4148503.0000","81.6100","81.6400","80.1000"
"2018/07/13","81.5000","4530190.0000","81.4000","81.6400","79.9210"
"2018/07/12","81.3700","8697765.0000","79.2900","81.4600","78.6700"
"2018/07/11","78.6100","8138084.0000","75.3500","79.3631","75.3500"
"2018/07/10","76.1900","2940042.0000","77.0000","77.0700","75.6749"
"2018/07/09","76.8400","4511687.0000","77.7000","77.9900","75.9300"
"2018/07/06","77.1900","2928460.0000","76.2000","77.4800","76.0200"
"2018/07/05","76.1900","7884008.0000","76.5100","76.8100","75.6850"
"2018/07/03","75.8800","2028270.0000","77.6800","77.6800","75.7200"
"2018/07/02","77.2800","3077859.0000","75.3600","77.3250","75.0000"
"2018/06/29","76.3200","5065889.0000","76.4400","77.2400","76.0800"
"2018/06/28","76.0100","4754144.0000","74.0000","76.1900","73.6600"
"2018/06/27","73.4200","4489535.0000","75.7700","75.8900","73.4000"
"2018/06/26","75.2700","4865419.0000","75.3200","76.4200","74.4300"
"2018/06/25","74.7000","5185731.0000","75.1900","75.4000","74.1400"
"2018/06/22","75.9800","3741039.0000","76.4600","76.5600","75.2150"
"2018/06/21","76.0500","4225007.0000","77.1700","77.9054","75.3100"
"2018/06/20","76.8400","3561161.0000","77.2500","77.6700","76.7800"
"2018/06/19","77.2400","3730041.0000","76.6400","77.3000","75.6550"
"2018/06/18","77.8700","3986282.0000","77.0200","77.9300","76.4700"
"2018/06/15","77.4100","6515341.0000","77.6600","77.8300","76.3700"
"2018/06/14","77.7100","6703384.0000","76.8300","79.2500","76.8000"
"2018/06/13","76.6700","8571594.0000","76.0400","77.5200","75.7000"
"2018/06/12","75.9400","4271656.0000","75.2300","76.0400","74.7910"
"2018/06/11","75.0000","5087082.0000","74.2500","75.5300","74.2250"
"2018/06/08","74.2900","4374920.0000","73.4500","74.8300","73.4500"
"2018/06/07","73.9500","4299933.0000","74.7900","75.2800","73.0800"
"2018/06/06","74.7900","6636697.0000","73.2600","75.0100","73.2600"
"2018/06/05","72.7700","5315763.0000","72.7900","73.3500","72.1900"
"2018/06/04","72.7900","4124079.0000","73.2500","73.8600","72.6600"
"2018/06/01","73.0300","6371271.0000","71.4200","73.2100","70.7700"
"2018/05/31","70.9100","6010928.0000","70.8300","72.2800","70.6900"
"2018/05/30","70.6900","4076839.0000","70.9200","71.2100","70.5100"
"2018/05/29","70.6400","4846152.0000","70.8000","71.1900","69.8700"
"2018/05/25","71.4600","3705562.0000","70.6600","71.8100","70.6000"
"2018/05/24","70.8000","5517706.0000","71.7500","71.9400","70.0500"
"2018/05/23","71.7400","3807936.0000","70.7300","71.8050","70.5500"
"2018/05/22","71.3500","4007137.0000","71.9500","72.5700","71.2300"
"2018/05/21","71.4500","6388633.0000","72.5000","73.5000","71.1900"
"2018/05/18","71.9900","5670283.0000","71.5200","72.1400","71.0500"
"2018/05/17","71.6600","6445664.0000","70.3000","71.9000","70.1100"
"2018/05/16","70.3300","4905517.0000","71.1300","71.9400","70.1000"
"2018/05/15","70.1700","3896210.0000","70.9800","71.1550","69.6700"
"2018/05/14","71.7000","2964707.0000","71.8700","72.3400","71.0350"
"2018/05/11","71.7000","4993558.0000","72.7700","72.7800","71.2700"
"2018/05/10","72.9000","5067145.0000","71.7800","72.9100","71.3200"
"2018/05/09","71.3100","5659686.0000","69.9800","72.0400","69.8100"
"2018/05/08","69.6100","3710518.0000","69.6600","70.1600","69.1800"
"2018/05/07","70.3700","5453340.0000","70.2700","70.7300","69.6000"
"2018/05/04","69.8400","11080380.0000","66.3000","69.9200","66.0228"
"2018/05/03","66.8200","21414300.0000","68.4900","71.0300","64.0600"
"2018/05/02","68.3900","7627941.0000","67.9400","68.8900","67.6600"
"2018/05/01","67.8000","4357918.0000","66.1500","67.9900","65.5900"
"2018/04/30","66.3500","5045121.0000","65.8600","66.6000","65.2800"
"2018/04/27","65.7900","4749573.0000","66.6900","67.3000","65.5100"
"2018/04/26","66.3400","4591064.0000","65.2600","66.6950","64.9300"
"2018/04/25","64.8200","3733975.0000","65.3800","65.7600","64.0100"
"2018/04/24","65.3400","4825667.0000","66.6200","67.2400","64.7100"
"2018/04/23","66.2300","4378594.0000","66.6000","67.8400","65.9650"
"2018/04/20","66.3000","4709675.0000","67.4400","67.4700","65.9600"
"2018/04/19","67.6800","4559980.0000","68.2500","68.7200","67.4400"
"2018/04/18","68.6900","4257371.0000","68.7500","69.0100","67.9700"
"2018/04/17","68.2800","5669463.0000","67.2500","68.5200","67.1000"
"2018/04/16","66.5600","5717845.0000","66.5300","66.8500","65.7600"
"2018/04/13","65.8800","4841367.0000","67.4600","67.5900","65.2900"
"2018/04/12","67.2200","4614712.0000","66.2500","67.5800","65.8000"
"2018/04/11","65.8500","3140264.0000","65.8000","66.7700","65.7100"
"2018/04/10","66.5200","6318313.0000","66.9600","67.0500","65.3000"
"2018/04/09","65.7700","6588085.0000","65.1600","66.7700","64.9600"
"2018/04/06","64.5600","4598310.0000","65.8500","66.3600","64.1300"
"2018/04/05","66.5300","4470702.0000","67.2000","67.6600","66.1500"
"2018/04/04","66.2700","5230978.0000","63.9550","66.5200","63.5200"
"2018/04/03","65.4800","7184955.0000","65.3900","65.8600","64.0900"
"2018/04/02","65.0900","9013952.0000","66.8000","67.2300","64.0918"
"2018/03/29","67.4600","11704050.0000","66.3400","68.0100","64.9200"
"2018/03/28","65.9700","10462520.0000","65.9300","66.5400","64.4500"
"2018/03/27","66.2900","7332862.0000","70.6700","70.6700","65.5600"
"2018/03/26","70.0800","4707936.0000","69.4300","70.1400","68.4300"
"2018/03/23","68.0400","5385678.0000","69.8600","70.5200","68.0200"
"2018/03/22","69.7600","5097813.0000","70.6300","71.6250","69.6450"
"2018/03/21","71.6100","4773853.0000","71.2000","72.6300","71.1100"
"2018/03/20","71.3700","3920367.0000","71.3400","72.0800","70.8400"
"2018/03/19","71.0500","7825295.0000","71.0000","72.1500","69.8100"
"2018/03/16","71.6800","10545620.0000","73.8700","73.9000","71.6100"
"2018/03/15","73.3800","9956516.0000","72.9900","73.7000","72.5100"
"2018/03/14","74.2200","11755440.0000","76.3500","76.4600","73.9300"
"2018/03/13","75.9300","5052218.0000","77.4900","77.8500","75.8050"
"2018/03/12","76.8600","8365502.0000","79.2400","79.6300","76.2900"
"2018/03/09","78.2200","8934531.0000","76.8550","78.2500","76.4100"
"2018/03/08","76.8100","8957803.0000","74.5100","76.9100","74.2300"
"2018/03/07","74.0700","5736972.0000","73.3800","74.1400","72.7500"
"2018/03/06","73.9200","8011403.0000","75.4000","75.4800","72.8600"
"2018/03/05","75.1000","6273691.0000","73.6600","75.3500","72.9200"
"2018/03/02","74.0100","6858965.0000","71.2200","74.3500","70.7400"
"2018/03/01","72.0100","8102415.0000","73.1600","73.4200","71.5200"
"2018/02/28","73.1300","7466698.0000","73.1500","74.8200","72.9700"
"2018/02/27","72.6100","4128779.0000","73.0500","73.3600","72.0221"
"2018/02/26","73.1600","4868200.0000","72.6800","74.1200","72.6800"
"2018/02/23","72.0700","5678883.0000","69.9500","72.0700","69.7900"
"2018/02/22","69.4900","5108376.0000","70.0600","70.7000","69.0700"
"2018/02/21","70.2200","5552413.0000","70.9000","71.8400","70.2200"
"2018/02/20","70.8400","5380843.0000","69.9700","71.2900","69.7500"
"2018/02/16","70.1900","6497517.0000","71.9600","72.1252","69.7900"
"2018/02/15","71.9900","6156071.0000","70.0000","72.0700","69.0500"
"2018/02/14","69.6500","7178019.0000","67.2100","69.9000","67.1100"
"2018/02/13","68.0300","5130290.0000","67.9600","68.2100","67.1800"
"2018/02/12","68.3200","8313413.0000","67.1600","69.2000","67.1600"
"2018/02/09","67.0800","18580480.0000","66.9900","67.7800","63.3200"
"2018/02/08","65.8300","11015980.0000","69.6300","69.7900","65.7600"
"2018/02/07","69.4600","6173531.0000","69.6200","70.8600","69.4300"
"2018/02/06","69.7000","10365630.0000","66.0000","69.8400","65.7200"
"2018/02/05","67.9800","10111010.0000","70.5400","71.1300","66.9100"
"2018/02/02","71.4200","5685236.0000","72.6600","72.9600","71.3800"
"2018/02/01","73.3500","5131149.0000","73.4800","74.2400","73.1600"
"2018/01/31","74.1300","7010538.0000","72.9600","74.9450","72.9600"
"2018/01/30","71.6100","5273633.0000","71.4350","71.8800","70.7276"
"2018/01/29","72.4500","7863472.0000","72.5000","72.6800","71.7000"
"2018/01/26","72.5200","5736625.0000","71.3400","72.5900","70.7550"
"2018/01/25","70.8200","4675153.0000","70.6000","71.2000","69.9500"
"2018/01/24","70.0800","9131532.0000","71.6600","71.9000","69.8800"
"2018/01/23","71.5500","5048445.0000","71.3200","72.3651","71.1500"
"2018/01/22","71.3000","3860282.0000","70.4500","71.4000","69.6800"
"2018/01/19","70.5700","5203708.0000","70.2200","70.8400","69.4800"
"2018/01/18","69.8000","5578477.0000","70.1100","70.7250","69.1700"
"2018/01/17","70.3600","7057422.0000","69.9700","70.8200","68.7900"
"2018/01/16","68.7100","5357263.0000","70.9200","71.1800","68.4000"
"2018/01/12","70.3600","8019603.0000","69.7000","70.7100","69.0500"
"2018/01/11","69.2400","8174261.0000","68.2900","69.3300","67.2300"
"2018/01/10","66.8300","4383073.0000","65.9300","66.9400","65.7800"
"2018/01/09","66.1900","5995818.0000","66.7500","66.7500","64.9000"
"2018/01/08","66.6300","4621720.0000","66.4900","67.2700","65.6500"
"2018/01/05","66.3700","4998791.0000","64.8800","66.4700","64.4900"
"2018/01/04","64.6600","3918439.0000","65.7500","65.8700","64.3600"
"2018/01/03","65.3100","4382992.0000","64.5500","65.7450","64.3955"
"2018/01/02","64.3100","5138655.0000","63.5400","64.6700","63.3700"
"2017/12/29","63.3200","3217881.0000","63.5900","63.8300","63.1200"
"2017/12/28","63.4000","3109027.0000","63.3400","63.5000","62.6001"
"2017/12/27","63.3400","4840038.0000","63.6700","63.7399","63.0700"
"2017/12/26","63.4500","3236949.0000","64.2400","64.4700","63.3800"
"2017/12/22","64.5100","3300497.0000","64.8600","64.9500","64.3800"
"2017/12/21","65.0800","3362699.0000","64.5100","65.2000","64.1400"
"2017/12/20","64.3800","4713953.0000","65.3100","65.4400","64.0061"
"2017/12/19","64.9000","5937646.0000","66.1000","66.2500","64.3901"
"2017/12/18","66.0100","6237149.0000","67.0800","67.4000","65.8800"
"2017/12/15","66.7300","9736362.0000","65.4700","67.0000","64.9900"
"2017/12/14","65.0300","4737112.0000","64.7000","65.4500","64.5400"
"2017/12/13","64.6000","5536338.0000","64.8500","65.2800","64.3000"
"2017/12/12","64.4000","6458881.0000","64.1100","64.6900","63.2000"
"2017/12/11","63.1700","3650473.0000","62.1400","63.1800","62.1400"
"2017/12/08","62.4300","5998347.0000","62.2600","63.5100","62.0403"
"2017/12/07","61.5700","7202187.0000","60.8000","62.4500","60.6900"
"2017/12/06","60.7500","8292230.0000","59.4800","60.8100","58.6300"
"2017/12/05","59.5500","7680438.0000","57.6350","60.7200","57.2900"
"2017/12/04","58.6000","12486040.0000","62.3900","62.4800","58.3500"
"2017/12/01","61.9600","5443381.0000","61.9600","62.6900","60.7128"
"2017/11/30","62.4000","8942378.0000","62.5500","62.7300","60.8600"
"2017/11/29","62.0100","9258364.0000","65.6100","65.7100","61.9500"
"2017/11/28","65.9700","3974233.0000","66.0200","66.4600","65.8400"
"2017/11/27","65.7400","4116565.0000","66.1800","66.4500","65.6300"
"2017/11/24","66.0300","1644821.0000","65.1800","66.1400","65.1200"
"2017/11/22","65.1400","5728820.0000","64.9100","66.3100","64.8900"
"2017/11/21","64.5000","3741262.0000","64.4900","64.9500","64.1901"
